Address,Company DUNS#,Corporate Name,Employees On Site,Latitude,Longitude,NAICS1,NAICS1Name,NAICS2,NAICS2Name,Point of Contact,Public/Private,SIC1,SIC1Name,SIC2,SIC2Name,Sales Volume,Telephone,Title,Total Employees,Tradestyle Name,Year Started
"1860 M 40, Holland MI 49423",09-780-1641,Smiths Turkey Farms Inc,3,42.7356325,-86.0644091,112330,Turkey Production,,,Restricted,Private,02539902,Turkey farm,,,"$1,443,701",Restricted,Restricted,17,,1940
"1452 N Johnson Ave, El Cajon CA 92020",12-849-9915,Pacific Trans Envmtl Svcs Inc,35,32.8149736,-116.9712378,562112,Hazardous Waste Collection ,,,Restricted,Private,42129907,Hazardous waste transport,,,"$5,601,113",Restricted,Restricted,35,,2002
"777 E Wisconsin Ave FL 29, Milwaukee WI 53202",05-529-6347,Robert W Baird & Co Inc,0,43.0382719,-87.901871,551112,Offices of Other Holding Companies ,,,Restricted,Private,67199901,"Investment holding companies, except banks",,,"$2,022,068,741",Restricted,Restricted,"3,918",,1919
"1330 Capital Blvd, Reno NV 89502",55-671-9326,Armand Agra  Inc,90,39.5047733,-119.7518332,112990,All Other Animal Production ,424470,Meat and Meat Product Merchant Wholesalers ,Restricted,Private,02910000,"General farms, primarily animals",51470000,Meats and meat products,"$100,000,000",Restricted,Restricted,153,,1991
"100 Merrick Rd Ste 320w, Rockville Centre NY 11570",79-704-6000,Jay Ditz Assoc Nassau Cnty Ltd,10,40.656284,-73.6508156,561410,Document Preparation Services,,,Restricted,Private,73389903,Secretarial and typing service,,,"$2,126,065",Restricted,Restricted,10,Deitz & Associates,1992
"10800 Richmond Ave # 112, Houston TX 77042",07-933-9756,Neighbors Health System  Inc,26,,,621493,Freestanding Ambulatory Surgical and Emergency Centers ,,,Restricted,Private,80110204,Freestanding emergency medical center,,,"$41,407,553",Restricted,Restricted,278,,2008
"1730 M St NW Ste 1000, Washington DC 20036",04-053-7573,League of Women Voters of US,25,38.9053391,-77.0398051,813940,Political Organizations ,,,Restricted,Private,86519901,Political action committee,,,"$7,299,509",Restricted,Restricted,30,LEAGUE OF WOMEN VOTERS,1923
"314 Madison St, Scott City MO 63780",12-179-1391,Inter-Rail Systems  Inc,7,37.2211028,-89.507139,562111,Solid Waste Collection ,561210,Facilities Support Services,Restricted,Private,42129906,"Garbage collection and transport, no disposal",87449904,Environmental remediation,"$12,640,592",Restricted,Restricted,50,I S I,1998
"430 S Capitol St SE FL 3, Washington DC 20003",04-053-7581,DNC Services Corporation,155,38.8840813,-77.0085748,813940,Political Organizations ,,,Restricted,Private,86519901,Political action committee,,,"$25,469,600",Restricted,Restricted,155,Democratic National Committee,1848
"4155 Harrison Blvd # 201, Ogden UT 84403",78-840-5421,Destination Cinema  Inc,12,,,512120,Motion Picture and Video Distribution,,,Restricted,Private,78290000,Motion picture distribution services,,,"$23,351,280",Restricted,Restricted,500,,1988
"7490 Easy St, Mason OH 45040",00-425-7820,Ashley F Ward  Inc,116,39.330186,-84.337975,332721,Precision Turned Product Manufacturing ,,,Restricted,Private,34510000,Screw machine products,,,"$46,529,968",Restricted,Restricted,195,Precision Tek Manufacturing,1908
"900 Ashwood Pkwy Ste 600, Atlanta GA 30338",14-717-6523,Crh America  Inc,15,33.9323459,-84.340319,327390,Other Concrete Product Manufacturing ,,,Restricted,Private,32720000,"Concrete products, nec",,,"$826,392,330",Restricted,Restricted,"3,500",,1978
"300 S Grand Ave Ste 1100, Los Angeles CA 90071",00-318-4462,Aecom Technical Services  Inc,100,34.0523179,-118.2514745,541620,Environmental Consulting Services,562219,Other Nonhazardous Waste Treatment and Disposal ,Restricted,Public,87489905,Environmental consultant,49530000,Refuse systems,"$1,229,121,180",Restricted,Restricted,"4,805",Aecom,1970
"421 27th Ave, Astoria NY 11102",07-853-4765,Goodwill Inds of Greater NY,240,40.7743181,-73.9311433,624310,Vocational Rehabilitation Services ,,,Restricted,Private,83319903,Vocational rehabilitation agency,,,"$117,329,518",Restricted,Restricted,"2,000",,1920
"130 Crescent Ave, Chelsea MA 02150",01-193-2399,J S B Industries  Inc,40,42.396161,-71.0251688,311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing ",,,Restricted,Private,20530000,"Frozen bakery products, except bread",,,"$27,966,736",Restricted,Restricted,115,Muffin Town,1978
"1170 Willow Creek Dr NW, Salem OR 97304",36-464-0503,Keystone Granite Inc,17,44.9492077,-123.0934573,212313,Crushed and Broken Granite Mining and Quarrying ,,,Restricted,Private,14230000,Crushed and broken granite,,,"$4,847,602",Restricted,Restricted,25,,2005
"2355 E Lincoln Ave, Escondido CA 92027",02-814-0234,Henry Avocado Corporation,70,33.1534358,-117.0534686,111339,Other Noncitrus Fruit Farming ,484121,"General Freight Trucking, Long-Distance, Truckload ",Restricted,Private,01799901,Avocado orchard,42130000,"Trucking, except local","$301,482,060",Restricted,Restricted,88,,1924
"240 E Central Pkwy # 1060, Altamonte Springs FL 32701",82-516-8235,North American Risk Svcs Inc,150,,,524291,Claims Adjusting ,,,Restricted,Private,64110201,"Insurance claim adjusters, not employed by insurance company",,,"$148,523,239",Restricted,Restricted,168,Nars,1997
"1301 McKinney St Ste 2300, Houston TX 77010",82-871-0348,MRC Global Inc,151,29.7554839,-95.3615297,423510,Metal Service Centers and Other Metal Merchant Wholesalers ,423840,Industrial Supplies Merchant Wholesalers,Restricted,Public,50510214,"Pipe and tubing, steel",50850000,Industrial supplies,"$3,646,000,000",Restricted,Restricted,"3,500",MRC GLOBAL,2006
"12231 Emmet St Ste 1, Omaha NE 68164",09-839-2053,Hansen-Mueller Co,73,41.2901216,-96.1037865,523140,Commodity Contracts Brokerage ,,,Restricted,Private,62219901,"Commodity brokers, contracts",,,"$85,684,929",Restricted,Restricted,130,Hansen Mueller Trucking,1979
"200 N 7th St Ste 1, Lebanon PA 17046",14-427-8454,Pennsylvnia Cunseling Svcs Inc,25,40.3425687,-76.4208196,621330,Offices of Mental Health Practitioners (except Physicians) ,,,Restricted,Private,80490401,Clinical psychologist,,,"$8,523,349",Restricted,Restricted,600,,1981
"1601 Market St Ste 800, Philadelphia PA 19103",09-683-5673,MCS Group  Inc,150,39.9530971,-75.1673521,541199,All Other Legal Services ,561210,Facilities Support Services,Restricted,Private,73891300,Legal and tax services,87440000,Facilities support services,"$47,656,332",Restricted,Restricted,500,,1980
"1000 Urban Center Dr # 300, Vestavia AL 35242",06-710-3432,Drummond Company  Inc,160,,,212111,Bituminous Coal and Lignite Surface Mining ,212112,Bituminous Coal Underground Mining ,Restricted,Private,12210105,"Surface mining, bituminous, nec",12220000,Bituminous coal-underground mining,"$3,835,109,107",Restricted,Restricted,"6,800",,1935
"3000 Minuteman Rd, Andover MA 01810",79-060-5856,Philips Medical Systems Hsg,33,42.6919907,-71.220303,334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing ",334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing ",Restricted,Private,36750000,Electronic capacitors,36760000,Electronic resistors,"$201,256,462",Restricted,Restricted,"2,500",,2007
"831 Industrial Ave, Chesapeake VA 23324",62-611-2502,Tecnico Corporation,375,36.823917,-76.272449,332323,Ornamental and Architectural Metal Work Manufacturing ,332312,Fabricated Structural Metal Manufacturing ,Restricted,Private,34460000,Architectural metalwork,34410000,Fabricated structural metal,"$131,656,266",Restricted,Restricted,450,Tecnico,1990
"55 Water St Lowr L1, New York NY 10041",04-617-2797,Donnelley Financial  LLC,420,40.7033226,-74.0088962,323111,Commercial Printing (except Screen and Books) ,,,Restricted,Public,27520000,"Commercial printing, lithographic",,,"$781,588,889",Restricted,Restricted,"2,800",Bowne Enterprise Solutions,1775
"1101 Winbak Way, Lexington KY 40504",06-297-0983,Lexington Trots Breeders Assn,75,38.0432069,-84.5195679,424520,Livestock Merchant Wholesalers ,711219,Other Spectator Sports ,Restricted,Private,51549901,Auctioning livestock,79480402,Harness horse racing,"$16,384,811",Restricted,Restricted,75,Ltba,1945
"3216 Nebraska Ave, Santa Monica CA 90404",02-792-5585,Hirsch/Bedner Intl Inc,70,34.0325944,-118.4614885,541410,Interior Design Services,,,Restricted,Private,73890602,Interior designer,,,"$31,960,225",Restricted,Restricted,350,Hba International,1964
"110 Airport Rd S Ste B, Pearl MS 39208",79-769-0088,Corr-Williams Company,8,32.281806,-90.07353,453991,Tobacco Stores ,,,Restricted,Private,59930000,Tobacco stores and stands,,,"$27,943,308",Restricted,Restricted,130,,1904
"7840 Old Bailey Hwy, Spring Hope NC 27882",08-857-0775,Barnes Farming Corporation,41,35.870806,-78.00658,111211,Potato Farming ,111910,Tobacco Farming,Restricted,Private,01390202,Sweet potato farm,01320000,Tobacco,"$9,933,545",Restricted,Restricted,50,,1976
"634 Crocker St, Los Angeles CA 90021",02-856-9630,Ore-Cal Corp,55,34.0407593,-118.2445306,424460,Fish and Seafood Merchant Wholesalers ,424420,Packaged Frozen Food Merchant Wholesalers ,Restricted,Private,51460000,Fish and seafoods,51420000,Packaged frozen goods,"$260,000,000",Restricted,Restricted,55,Harvest of The Sea,1961
"3140 Rte 22, Branchburg NJ 08876",08-975-1499,Marcolin USA Eyewear Corp,87,40.60281,-74.687354,339115,Ophthalmic Goods Manufacturing ,,,Restricted,Private,38510101,"Eyeglasses, lenses and frames",,,"$98,727,608",Restricted,Restricted,550,Viva International Group,1978
"1607 12th St S, Princeton MN 55371",15-758-8245,United States Distilled Pdts,149,45.5554216,-93.6003796,312140,Distilleries ,424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers ,Restricted,Private,20850000,Distilled and blended liquors,51829901,Bottling wines and liquors,"$45,232,269",Restricted,Restricted,200,U S Distilled Products,1976
"5900 Pasteur CT Ste 200, Carlsbad CA 92008",87-915-8608,Grand Pacific Resorts  Inc,250,33.133809,-117.2875428,531390,Other Activities Related to Real Estate ,721110,Hotels (except Casino Hotels) and Motels ,Restricted,Private,65310402,"Time-sharing real estate sales, leasing and rentals",70110000,Hotels and motels,"$185,526,284",Restricted,Restricted,800,,1993
"1875 Explorer St Ste 200, Reston VA 20190",18-839-3854,Rolls-Ryce N Amer USA Holdings,51,38.9583095,-77.3597945,423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers ,561110,Office Administrative Services,Restricted,Private,50880302,"Aircraft and parts, nec",87410100,Business management,"$2,722,010,386",Restricted,Restricted,"7,013",Rolls-Royce,1982
"3021 Miller Rd, Ann Arbor MI 48103",00-661-9316,Etas  Inc,450,42.2992145,-83.7907076,423490,Other Professional Equipment and Supplies Merchant Wholesalers ,,,Restricted,Private,50490102,"Engineers' equipment and supplies, nec",,,"$92,083,559",Restricted,Restricted,650,Etas,1997
"500 Cummings Ctr Ste 2500, Beverly MA 01915",83-187-6847,Marketing By Design LLC,2,42.5622309,-70.8895672,541420,Industrial Design Services,323111,Commercial Printing (except Screen and Books) ,Restricted,Private,73891801,"Design, commercial and industrial",27590300,Promotional printing,"$10,477,828",Restricted,Restricted,125,,1990
"4800 Cox Rd Ste 300, Glen Allen VA 23060",07-955-4546,Winebow Group  LLC,23,37.6676492,-77.5711562,424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers ,,,Restricted,Private,51820100,Wine,,,"$669,284,230",Restricted,Restricted,541,,2014
"1303 7th Ave E, Hendersonville NC 28792",10-177-3232,Alliance Corporation,75,35.3278935,-82.4507972,611692,Automobile Driving Schools ,,,Restricted,Private,82990402,Truck driving training,,,"$3,953,009",Restricted,Restricted,75,Alliance Trctr Trlr Trning Ctr,1981
"1601 Conn Ave NW Ste 200, Washington DC 20009",12-651-4330,Search For Common Ground,450,38.9113973,-77.0440781,813940,Political Organizations ,,,Restricted,Private,86519901,Political action committee,,,"$26,245,225",Restricted,Restricted,450,,1982
"2900 E Apache St, Tulsa OK 74110",08-084-2605,Moore Dm Group  LLC,2,36.1898395,-95.9469936,541860,Direct Mail Advertising,561440,Collection Agencies,Restricted,Private,73310000,Direct mail advertising services,73229902,"Collection agency, except real estate","$116,988,597",Restricted,Restricted,360,Moore Direct Marketing Group,2011
"1293 Eldridge Pkwy, Houston TX 77077",10-241-7268,Citgo Petroleum Corporation,940,29.7624288,-95.6241772,324110,Petroleum Refineries,424710,Petroleum Bulk Stations and Terminals ,Restricted,Private,29110000,Petroleum refining,51710000,Petroleum bulk stations and terminals,"$24,100,433,000",Restricted,Restricted,"4,000",Citgo,1983
"9400 W 55th St, Countryside IL 60525",00-511-6637,Tru Vue  Inc,110,41.7922379,-87.8531001,327211,Flat Glass Manufacturing ,332618,Other Fabricated Wire Product Manufacturing ,Restricted,Public,32119905,Picture glass,34960108,Mats and matting,"$61,360,243",Restricted,Restricted,310,,1947
"1403 Foulk Rd Ste 200, Wilmington DE 19803",18-485-1793,Tdy Holdings  LLC,9,39.802321,-75.5258829,332111,Iron and Steel Forging ,,,Restricted,Public,34620000,Iron and steel forgings,,,"$1,609,202,151",Restricted,Restricted,"3,550",,1999
"243 Huffaker Rd NW, Rome GA 30165",96-164-6846,Foss Holdings  LLC,120,34.2829057,-85.2481555,313230,Nonwoven Fabric Mills,551112,Offices of Other Holding Companies ,Restricted,Private,22970000,Nonwoven fabrics,67199902,"Personal holding companies, except banks","$96,000,000",Restricted,Restricted,250,,2006
"2114 Green Hills Vlg Dr, Nashville TN 37215",62-761-5318,Venetian Nail Spa,9,36.1086207,-86.8131246,812113,Nail Salons ,,,Restricted,Private,72310104,"Manicurist, pedicurist",,,"$2,800,000",Restricted,Restricted,30,VENETIAN NAIL SPA,2005
"26180 Curtiss Wright Pkwy, Cleveland OH 44143",04-402-6172,Flight Options  LLC,240,41.565057,-81.4932418,532411,"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing ",,,Restricted,Private,73590401,Aircraft rental,,,"$49,375,085",Restricted,Restricted,250,,1998
"4 Greenway Plz Ste 100, Houston TX 77046",07-960-8259,Trans Ocean Ltd,6,29.7310208,-95.430655,213111,Drilling Oil and Gas Wells,,,Restricted,Private,13810000,Drilling oil and gas wells,,,"$2,973,000,000",Restricted,Restricted,6,,1991
"33 W 1st St Ste 500, Dayton OH 45402",07-128-9672,United Way of The Greater Dayt,35,39.7625622,-84.1942011,813219,Other Grantmaking and Giving Services ,624190,Other Individual and Family Services ,Restricted,Private,83999910,United Fund councils,83220000,Individual and family services,"$9,083,124",Restricted,Restricted,35,UNITED WAY,1914
"112 W 34th St Ste 605, New York NY 10120",94-597-5712,A C S Humn Resources Solutions,25,40.7496971,-73.9889209,541612,Human Resources Consulting Services ,523930,Investment Advice ,Restricted,Public,87420201,Compensation and benefits planning consultant,62820000,Investment advice,"$611,372,037",Restricted,Restricted,"3,100",,1996
"200 Center Point Cir # 200, Columbia SC 29210",04-826-5974,Hubbell Power Systems  Inc,100,,,335931,Current-Carrying Wiring Device Manufacturing ,,,Restricted,Public,36430000,Current-carrying wiring devices,,,"$632,574,883",Restricted,Restricted,"3,875",,1994
"22303 Highway 95, Wilder ID 83676",96-819-4394,CTI Foods Acquisition LLC,"1,503",43.695185,-116.912764,322219,Other Paperboard Container Manufacturing ,,,Restricted,Private,26560201,Frozen food containers: made from purchased material,,,"$228,869,740",Restricted,Restricted,"1,503",CTI Foods,2010
"6321 Elmer Hill Rd, Rome NY 13440",78-271-6732,Bartell Machinery Systems LLC,150,43.285305,-75.4688824,333519,Rolling Mill and Other Metalworking Machinery Manufacturing ,,,Restricted,Private,35490000,"Metalworking machinery, nec",,,"$32,138,553",Restricted,Restricted,150,,1940
"1511 W Center Rd, Essexville MI 48732",06-560-0843,Jacks Fruit Market Inc,60,43.5938427,-83.8377856,445210,Meat Markets ,445310,"Beer, Wine, and Liquor Stores ",Restricted,Private,54210200,"Meat markets, including freezer provisioners",59210101,Beer (packaged),"$33,000,000",Restricted,Restricted,220,,1949
"2 N Riverside Plz Ste 800, Chicago IL 60606",84-985-5788,Mhc Operating Ltd Partnership,63,41.8825932,-87.6391507,531190,Lessors of Other Real Estate Property ,531210,Offices of Real Estate Agents and Brokers,Restricted,Public,65150000,Mobile home site operators,65310000,Real estate agents and managers,"$104,561,484",Restricted,Restricted,"1,018",Golf Vista Estates,1996
"1415 W Diehl Rd Ste 300, Naperville IL 60563",80-971-1898,EBY-Brown Company  LLC,130,41.8031949,-88.1917799,424940,Tobacco and Tobacco Product Merchant Wholesalers ,424450,Confectionery Merchant Wholesalers ,Restricted,Private,51940101,Cigarettes,51450000,Confectionery,"$1,893,261,888",Restricted,Restricted,"2,500",EBY-Brown,2000
"8501 Technology Cir, Greenville TX 75402",08-685-3496,Texas Book Company,125,33.0855254,-96.0763589,451211,Book Stores ,424920,"Book, Periodical, and Newspaper Merchant Wholesalers ",Restricted,Private,59420000,Book stores,51929901,Books,"$49,425,941",Restricted,Restricted,325,,1975
"6406 N Santa Fe Ave Ste B, Oklahoma City OK 73116",14-873-3053,North Amercn Tie & Timber LLC,5,35.5371459,-97.5115263,423990,Other Miscellaneous Durable Goods Merchant Wholesalers ,,,Restricted,Private,50990208,"Timber products, rough",,,"$480,000,000",Restricted,Restricted,43,,2003
"461 Donald St, Mobile AL 36617",04-912-4688,Mobile Community Action Inc,50,30.7049408,-88.0841222,624230,Emergency and Other Relief Services ,,,Restricted,Private,83220307,Temporary relief service,,,"$18,761,175",Restricted,Restricted,380,,1966
"160 Terminal Ave, Clark NJ 07066",14-229-2866,Mastertaste Inc,101,40.629357,-74.319492,311930,Flavoring Syrup and Concentrate Manufacturing,,,Restricted,Private,20870000,"Flavoring extracts and syrups, nec",,,"$68,158,356",Restricted,Restricted,249,Kerry Ingredients and Flavours,2002
"22555 Laredo Trl, Adel IA 50003",15-114-8137,Midwest Oilseeds Inc,4,41.7136443,-94.060311,111110,Soybean Farming,,,Restricted,Private,01160000,Soybeans,,,"$2,393,339",Restricted,Restricted,11,,1972
"140 E 45th St Ste 15a, New York NY 10017",88-436-4530,Altaba Inc,135,40.752707,-73.9740497,525990,Other Financial Vehicles ,,,Restricted,Public,67269905,"Management investment funds, closed-end",,,"$5,169,135,000",Restricted,Restricted,"8,500",,1994
"3600 Horizon Blvd Ste 100, Trevose PA 19053",05-948-2682,Stonemor Partners LP,25,40.1379213,-74.9657646,812220,Cemeteries and Crematories ,812210,Funeral Homes and Funeral Services ,Restricted,Public,65539902,"Cemeteries, real estate operation",72610000,Funeral service and crematories,"$326,230,000",Restricted,Restricted,"3,220",,1999
"76 S Main St Bsmt, Akron OH 44308",19-247-2751,Firstenergy Solutions Corp,19,41.0831382,-81.5182305,221122,Electric Power Distribution ,,,Restricted,Public,49119901,"Distribution, electric power",,,"$3,098,000,000",Restricted,Restricted,56,Fes,1997
"5301 Mesker St, Schofield WI 54476",94-162-8625,City of Schofield,42,44.9088628,-89.5562685,922110,Courts ,,,Restricted,Private,92119902,Local courts,,,$0,Restricted,Restricted,42,SCHOFIELD WESTON MUNICIPAL COU,2000
"999 N Sepulveda Blvd, El Segundo CA 90245",07-853-4945,Hnc Parent  Inc,100,33.930363,-118.3968899,324122,Asphalt Shingle and Coating Materials Manufacturing ,325211,Plastics Material and Resin Manufacturing ,Restricted,Private,29520102,"Roof cement: asphalt, fibrous, or plastic",28210106,Polyurethane resins,"$263,671,107",Restricted,Restricted,560,,2012
"2 Westbrook Corp Ctr, Westchester IL 60154",62-112-1516,Essentra Packaging US Inc,5,41.8461556,-87.9047334,326111,Plastics Bag and Pouch Manufacturing ,322121,Paper (except Newsprint) Mills ,Restricted,Private,26730301,Plastic bags: made from purchased materials,26210601,Business form paper,"$195,735,994",Restricted,Restricted,"1,191",,1985
"801 W Madison St, Waterloo WI 53594",02-046-5852,Trek Bicycle Corporation,600,43.179081,-89.003684,451110,Sporting Goods Stores ,332510,Hardware Manufacturing,Restricted,Private,59419902,Bicycle and bicycle parts,34290301,"Bicycle racks, automotive","$238,420,307",Restricted,Restricted,"1,189",Trek,1976
"2015 Spring Rd Ste 650, Oak Brook IL 60523",09-849-9569,Sterigenics US  LLC,70,41.85006,-87.9465725,561990,All Other Support Services,,,Restricted,Private,73899941,Product sterilization service,,,"$478,731,145",Restricted,Restricted,"1,900",Steripro Laboratories,1997
"1945 Airport Rd, Columbus MS 39701",60-743-6107,Steel Dynamics Columbus  LLC,258,33.4480514,-88.5829187,331513,Steel Foundries (except Investment) ,,,Restricted,Public,33259904,"Rolling mill rolls, cast steel",,,"$327,478,898",Restricted,Restricted,790,,2005
"1325 Cobb International D, Kennesaw GA 30152",86-134-0859,Brand Energy Solutions LLC,27,34.007936,-84.610721,238130,Framing Contractors ,238310,Drywall and Insulation Contractors ,Restricted,Private,17510000,Carpentry work,17420203,"Insulation, buildings","$1,249,463,918",Restricted,Restricted,"6,000",,1989
"301 E Main St, Turlock CA 95380",15-211-4211,Farmland Management Services,13,37.4955333,-120.8449719,115116,Farm Management Services ,,,Restricted,Private,07620000,Farm management services,,,"$80,665,670",Restricted,Restricted,120,,1986
"955 Highway 57, Collierville TN 38017",87-631-4329,Aoc  LLC,75,35.0462245,-89.6937081,313320,Fabric Coating Mills,,,Restricted,Private,22950201,Resin or plastic coated fabrics,,,"$307,171,249",Restricted,Restricted,560,,1994
"4418 Pottsville Pike, Reading PA 19605",00-232-5983,Elbeco Incorporated,53,40.402124,-75.9369795,315210,Cut and Sew Apparel Contractors ,315220,Men?s and Boys? Cut and Sew Apparel Manufacturing ,Restricted,Private,23219902,Uniform shirts: made from purchased materials,23260206,Work pants,"$63,608,394",Restricted,Restricted,310,,1907
"280 Machlin CT, Walnut CA 91789",19-037-9727,Prime Wire & Cable  Inc,50,34.030328,-117.8229001,335929,Other Communication and Energy Wire Manufacturing ,,,Restricted,Private,33579905,"Building wire and cable, nonferrous",,,"$76,433,660",Restricted,Restricted,50,,1981
"102 Willenbrock Rd, Oxford CT 06478",00-232-5991,Roller Bearing Co Amer Inc,155,41.466321,-73.1496222,332991,Ball and Roller Bearing Manufacturing,,,Restricted,Public,35620000,Ball and roller bearings,,,"$494,043,417",Restricted,Restricted,"1,746",R B C,1934
"310 W 43rd St, New York NY 10036",07-526-1222,1199seiu Untd Hlth Care Wkrs E,500,40.7580987,-73.9900472,813930,Labor Unions and Similar Labor Organizations ,,,Restricted,Private,86319903,Labor union,,,"$159,146,231",Restricted,Restricted,800,,1932
"500 Deaderick St, Nashville TN 37243",87-889-0425,Department of Tennessee,70,36.1654937,-86.7820878,923120,Administration of Public Health Programs ,,,Restricted,Private,94310402,"Administration of public health programs, State government",,,$0,Restricted,Restricted,"2,000",Tennessee Dept Mental Hlth,1953
"7481 Theron Rd, West Point VA 23181",15-458-2985,Curtis Contracting  Inc,61,37.5099763,-76.8534629,115310,Support Activities for Forestry,236210,Industrial Building Construction ,Restricted,Private,08510000,Forestry services,16299903,Land clearing contractor,"$33,322,584",Restricted,Restricted,150,,1985
"2951 E Highway 501, Conway SC 29526",02-749-6441,Professional Plumbing Group,23,33.7771524,-78.9832935,332913,Plumbing Fixture Fitting and Trim Manufacturing ,,,Restricted,Private,34320000,Plumbing fixture fittings and trim,,,"$84,951,572",Restricted,Restricted,250,,2004
"1575 Henthorne Dr, Maumee OH 43537",18-141-7143,Kellermyer Bergensons Svcs LLC,60,41.611179,-83.6861718,561720,Janitorial Services ,,,Restricted,Private,73490104,"Janitorial service, contract basis",,,"$606,425,148",Restricted,Restricted,"12,000",,2001
"27402 72nd Ave S, Kent WA 98032",96-728-2138,Alco Investment Company,200,47.3591932,-122.241421,332996,Fabricated Pipe and Pipe Fitting Manufacturing ,332313,Plate Work Manufacturing ,Restricted,Private,34980000,Fabricated pipe and fittings,34430000,Fabricated plate work (boiler shop),"$154,032,376",Restricted,Restricted,375,Alaskan Copper Works,1913
"501 N Lincoln St, Siloam Springs AR 72761",12-876-8546,Ozark Electronics Repair  Inc,270,36.189677,-94.526625,811211,Consumer Electronics Repair and Maintenance ,811412,Appliance Repair and Maintenance ,Restricted,Private,76220304,Television repair shop,76290300,Electrical household appliance repair,"$22,604,325",Restricted,Restricted,390,,1981
"110 University Pl, New York NY 10003",01-193-2647,Cobalt Group  LLC,50,40.734386,-73.9928307,713950,Bowling Centers,722410,Drinking Places (Alcoholic Beverages) ,Restricted,Private,79339903,Ten pin center,58130101,Bar (drinking places),"$10,000,000",Restricted,Restricted,50,Bowlmor Lanes,1938
"985 Jolly Rd, Blue Bell PA 19422",08-019-8735,Henkels & McCoy Group  Inc,12,40.148913,-75.2901494,237110,Water and Sewer Line and Related Structures Construction ,,,Restricted,Private,16230000,"Water, sewer, and utility lines",,,"$1,500,000,000",Restricted,Restricted,"5,000",,2015
"10 Ascot Pkwy, Cuyahoga Falls OH 44223",00-103-7985,Pneumatic Scale Corporation,225,41.162126,-81.510094,333993,Packaging Machinery Manufacturing ,333999,All Other Miscellaneous General Purpose Machinery Manufacturing ,Restricted,Private,35650000,Packaging machinery,35699907,"Centrifuges, industrial","$108,968,725",Restricted,Restricted,300,Pneumatic Scale Angelus,1895
"21 Plymouth St, Fairfield NJ 07004",07-118-2463,New Jersey Federation of Ymha,25,40.8695803,-74.3117983,721214,Recreational and Vacation Camps (except Campgrounds) ,,,Restricted,Private,70320201,Boys' camp,,,"$17,858,197",Restricted,Restricted,35,,1920
"6920 Seaway Blvd, Everett WA 98203",08-019-8742,Fortive Corporation,98,47.9348825,-122.26492,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables ",,,Restricted,Public,38230000,Process control instruments,,,"$6,656,000,000",Restricted,Restricted,"24,000",Fortive,2015
"3500 N Martin Luther, Oklahoma City OK 73111",02-073-4265,Oklahoma Turnpike Authority,393,35.5043345,-97.4758852,488490,Other Support Activities for Road Transportation ,,,Restricted,Private,47850102,Toll road operation,,,"$257,888,959",Restricted,Restricted,528,,1982
"1211 N General Bruce Dr, Temple TX 76504",02-631-5770,Western Hatcheries of Temple,25,31.113835,-97.3542949,112340,Poultry Hatcheries,,,Restricted,Private,02540000,Poultry hatcheries,,,"$1,156,478",Restricted,Restricted,35,,1952
"1299 Farnam St Ste 120, Omaha NE 68102",82-747-6230,NGL Crude Logistics  LLC,70,41.2571234,-95.9326905,523130,Commodity Contracts Dealing ,424510,Grain and Field Bean Merchant Wholesalers ,Restricted,Public,62210000,"Commodity contracts brokers, dealers",51530000,Grain and field beans,"$528,097,445",Restricted,Restricted,600,,1995
"510 E McClurken Ave, Sparta IL 62286",00-629-7493,Spartan Light Metal Pdts Inc,25,38.120082,-89.6932255,331523,Nonferrous Metal Die-Casting Foundries ,331523,Nonferrous Metal Die-Casting Foundries ,Restricted,Private,33630000,Aluminum die-castings,33649901,Magnesium and magnesium-base alloy die-castings,"$140,000,000",Restricted,Restricted,600,,1961
"330 Seven Springs Way, Brentwood TN 37027",19-805-4350,Lifepoint Health  Inc,250,36.0416066,-86.7691697,622110,General Medical and Surgical Hospitals ,541611,Administrative Management and General Management Consulting Services ,Restricted,Public,80620000,General medical and surgical hospitals,87420404,Hospital and health services consultant,"$6,291,400,000",Restricted,Restricted,"47,000",,1997
"6040 W Jefferson Blvd, Los Angeles CA 90016",07-622-7305,J B French Dry Cleaners LLC,20,34.020455,-118.3802519,811430,Footwear and Leather Goods Repair,812320,Drycleaning and Laundry Services (except Coin-Operated) ,Restricted,Private,76991901,"Leather goods, cleaning and repair",72169901,"Cleaning and dyeing, except rugs","$2,495,803",Restricted,Restricted,45,,1966
"3131 SW 42nd St, Fort Lauderdale FL 33312",12-978-8274,Circuitronix LLC,400,26.0705645,-80.1852398,334412,Bare Printed Circuit Board Manufacturing  ,,,Restricted,Private,36729901,"Circuit boards, television and radio printed",,,"$99,871,378",Restricted,Restricted,400,,2002
